0,1,2,3
2188,1663,2306,1847
2168,1720,2309,1845
2252,897,2341,1064
2252,897,2341,1064
2436,1699,2543,1846
2169,940,2394,1048
2610,1718,2851,1799
949,718,1080,820
2891,2081,3129,2167
293,834,500,924
2607,1833,2753,1932
1020,504,1225,612
1020,504,1225,612
1790,1057,2048,1147
1383,634,1556,725
2507,1683,2616,1805
3316,1233,3419,1282
3085,505,3269,714
1792,3995,2050,4147
3213,532,3649,635
3815,3237,3944,3503
942,1065,1055,1261
3795,2228,3870,2438
1018,930,1264,1021
4966,1313,5177,1394
4976,1097,5223,1234
1385,749,1568,881
1384,749,1586,881
2636,2086,2839,2221
3112,1266,3225,1530
1242,1957,1329,2028
3219,1322,3511,1486
2566,1869,2652,1954
2692,758,2828,869
6309,739,6517,958
3274,562,3446,868
1075,3525,1258,3645
2697,3097,2770,3237
2118,1845,2215,1939
2118,1845,2215,1939
3504,595,3648,864
4719,4139,4910,4296
4720,3275,4946,3447
4382,958,4653,1086
5356,962,5454,1122
5372,719,5462,931
3218,1445,3449,1574
4379,2597,4637,2731
5800,2513,6034,2645
1444,1251,1532,1416
2269,2954,2381,3125
2584,950,2696,1081
5045,2370,5256,2505
2268,1643,2380,1781
2263,1643,2393,1768
2270,1643,2381,1779
2719,960,2971,1085
2715,3813,2912,4027
1725,2965,1771,3081
4866,702,4972,839
2886,646,3155,854
2216,1934,2475,2016
2375,1349,2522,1444
4966,1313,5215,1394
4304,1098,4632,1228
3378,3107,3598,3230
3281,1593,3390,1703
3379,1065,3559,1255
633,3276,867,3408
5718,1072,6021,1226
806,2597,1144,2671
3294,930,3637,1006
2466,908,2522,1016
2510,1033,2620,1136
699,1285,931,1399
710,1291,931,1412
1796,2985,2006,3062
718,1099,974,1227
1475,874,1700,966
1475,874,1700,966
2258,1042,2482,1119
2190,2217,2347,2317
702,1899,928,2005
3112,672,3208,856
1280,1553,1353,1661
4629,3924,4699,4122
3214,1186,3481,1278
4717,3275,4943,3447
1385,944,1662,1091
1300,2031,1528,2188
4712,3962,4941,4090
1298,1315,1370,1506
1277,1265,1371,1506
1280,1161,1351,1305
1921,1722,2063,1803
5714,2484,5794,2672
1426,3402,1565,3540
2373,957,2589,1090
2382,957,2591,1090
2382,932,2612,1090
